uuid,Source EN,Fallback EN
8237c0f0-9230-5208-aa5b-e870138ba973,jobtype,hours
8237c0f0-9230-5208-aa5b-e870138ba973,salary_currency,
ce6ddf2d-1cad-58ce-984f-c05a7f198f9f,country,location
ce6ddf2d-1cad-58ce-984f-c05a7f198f9f,location,zip
ce6ddf2d-1cad-58ce-984f-c05a7f198f9f,jobtype,hours
ce6ddf2d-1cad-58ce-984f-c05a7f198f9f,salary_currency,
a1cea1c8-0e01-54e2-95eb-488a6832ec69,country,location
a1cea1c8-0e01-54e2-95eb-488a6832ec69,location,zip
a1cea1c8-0e01-54e2-95eb-488a6832ec69,jobtype,hours
a1cea1c8-0e01-54e2-95eb-488a6832ec69,salary_currency,
0b69bd5e-9fdc-58e6-8b71-35ac9466bb6f,country,location
0b69bd5e-9fdc-58e6-8b71-35ac9466bb6f,location,zip
0b69bd5e-9fdc-58e6-8b71-35ac9466bb6f,jobtype,hours
0b69bd5e-9fdc-58e6-8b71-35ac9466bb6f,salary_currency,
edb0a13d-1977-5029-ac80-0df700a1bb54,country,location
edb0a13d-1977-5029-ac80-0df700a1bb54,location,zip
edb0a13d-1977-5029-ac80-0df700a1bb54,jobtype,hours
edb0a13d-1977-5029-ac80-0df700a1bb54,salary_currency,
a415f7a8-f205-569d-87b3-c04c64d15dfb,country,location
a415f7a8-f205-569d-87b3-c04c64d15dfb,location,zip
a415f7a8-f205-569d-87b3-c04c64d15dfb,jobtype,hours
a415f7a8-f205-569d-87b3-c04c64d15dfb,salary_currency,
98efba6b-eb46-5e1e-9c4b-a0abc32a2ae6,country,location
98efba6b-eb46-5e1e-9c4b-a0abc32a2ae6,location,zip
98efba6b-eb46-5e1e-9c4b-a0abc32a2ae6,jobtype,hours
98efba6b-eb46-5e1e-9c4b-a0abc32a2ae6,salary_currency,
e2992e0d-a3ad-5922-a569-41aafd9dbd2f,country,location
e2992e0d-a3ad-5922-a569-41aafd9dbd2f,location,zip
e2992e0d-a3ad-5922-a569-41aafd9dbd2f,jobtype,hours
e2992e0d-a3ad-5922-a569-41aafd9dbd2f,salary_currency,
63309bca-a096-5f98-ab21-736de876e2da,country,location
63309bca-a096-5f98-ab21-736de876e2da,location,zip
63309bca-a096-5f98-ab21-736de876e2da,jobtype,hours
63309bca-a096-5f98-ab21-736de876e2da,salary_currency,
bd4b58f0-59fb-504e-bef4-2e11cefd451a,country,location
bd4b58f0-59fb-504e-bef4-2e11cefd451a,location,zip
bd4b58f0-59fb-504e-bef4-2e11cefd451a,jobtype,hours
bd4b58f0-59fb-504e-bef4-2e11cefd451a,salary_currency,
70e36441-f95e-561a-9e51-7d168f49f8b7,country,location
70e36441-f95e-561a-9e51-7d168f49f8b7,location,zip
70e36441-f95e-561a-9e51-7d168f49f8b7,jobtype,hours
70e36441-f95e-561a-9e51-7d168f49f8b7,salary_currency,
5aa43fc9-883c-5acd-b578-7c4373aa5608,country,location
5aa43fc9-883c-5acd-b578-7c4373aa5608,location,zip
5aa43fc9-883c-5acd-b578-7c4373aa5608,jobtype,hours
5aa43fc9-883c-5acd-b578-7c4373aa5608,salary_currency,
d9414f21-ebbd-5bda-8535-a3964250a5f9,country,location
d9414f21-ebbd-5bda-8535-a3964250a5f9,location,zip
d9414f21-ebbd-5bda-8535-a3964250a5f9,jobtype,hours
d9414f21-ebbd-5bda-8535-a3964250a5f9,salary_currency,
e2a3f7f1-0e92-5882-8140-887ea64407e6,country,location
e2a3f7f1-0e92-5882-8140-887ea64407e6,location,zip
e2a3f7f1-0e92-5882-8140-887ea64407e6,jobtype,hours
e2a3f7f1-0e92-5882-8140-887ea64407e6,salary_currency,
791d19b5-e109-559b-95fa-317a5d145a0f,country,location
791d19b5-e109-559b-95fa-317a5d145a0f,location,zip
791d19b5-e109-559b-95fa-317a5d145a0f,jobtype,hours
