Uuid__c,Status_desq__c,Remarks__c
f92e1513-d313-5e7f-980d-ab89b4a4adb8,Active,"19032020 LT RC $210,-; Purchase price $178,50"
876b5767-a573-569a-ab5f-5e8d8fd298cc,Active,"LT 23102019 RC $100, - Purchase: $70,-"
1229021d-448c-5b85-98bb-0c33b8224f92,Active,RVR 18-11-2020: Mariska told me that Jobs in Energy is soon going to quit.
e707a3bd-2b33-5362-8156-fcc6ec38e9d8,Active,"14-01-2021 RVR: ""we will discontinue our mobilitymag.de shortly.
Therefore I ask you to remove the corresponding job offer from your portfolio."""
145185f4-afa4-5656-af5b-816ae3ce4c55,Active,"22062021LR: Decreased budget by 5% (pitstop project)

RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product."
f81a6cfa-4405-59bc-a0de-f04448928202,Active,"LT 21112019 RC: $100,- ; Purchase: $70,-"
37fff292-1770-5866-810a-d7419cbfbf88,Active,"28112019 LT: RC $275,- Purchase $175"
37ab141f-9a01-5aa8-a127-3cd4273cb874,Active,Voorraad is op
fb4d1181-50c0-54a1-876f-e3b4ec1b6ecc,Active,Voorraad is op
1d2db7bb-6d9f-57cb-954c-53a6b4cce290,Active,"09122019 LT RC: $199,- Purchase price $150,-"
e5220cb2-f8bc-5ecc-b4f6-268c098f3587,Active,"09122019 LT RC: $199,- Purchase price $150,-"
db802b79-a7f0-5165-9308-73c2d04e5057,Active,Voorraad is op
a8869e16-4b0a-569a-af80-2727ccdea832,Active,Voorraad is op
9f4dc603-1ac0-579c-b965-b03083f02dc2,Active,21122019: Voorraad is op
4d9caead-03d2-5247-8d40-4d39801b58bd,Active,"Rate card: 300 GBP,"
4d237be5-3b69-556a-b177-bed5c6c78be7,Active,"09122019 LT RC: $199,- Purchase price $150,-"
850b3cc6-2228-53a5-9c46-afecc767e750,Active,"09122019 LT RC: $199,- Purchase price $150,-"
dc79d05c-b334-51eb-89d5-afa9dd6374b7,Active,10122019 LT: Blacklist iov RvR ivm teveel afwijkingen van onze business rules
3e5d05e1-6ab1-5fc3-a409-8845e2ceb739,Active,EH 17-05-21: Supplier has told operations that the site doesnt exist anymore
acae846d-8afa-5b52-ae30-d093de9fa1c0,Active,Wait Until New PA.
dad07a86-cc81-5767-897b-dc02d38a9226,Active,"10122019 LT: RC $195,- Purchase $98,-"
8d2f7c13-fd0d-5172-b009-bd36c5e71c71,Active,"29112019 LT: RC: $149,- Purchase: $55,30"
006ce0f7-842f-5306-813e-d2842ff161f0,Active,"18112019 LT: RC $225,- Purchase: $160,-"
843b3ee6-a396-519e-82cb-1e71c920cc58,Active,"18112019 LT: RC $425,- Purchase: $395,-
Product is niet beschikbaar in het JMP, omdat dit een extra product is."
bbb7e03c-74a9-5059-b68f-1fd38f6ef801,Active,"20032020 LT: RC $299,-; Purchase Price $ 254,15"
817f66d8-3040-5508-91a9-1c9fbb664e1d,Active,"RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.

100 euro budget to job slot
100 euro budget to sponsored ad"
7bf42afa-74fc-504c-ad45-f07a26b0ebcb,Active,"14022020 ML $99,-; Purchasing price: $84,15"
1898e36d-9ce8-5885-ad5e-936f5cad5dcd,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
29f5169d-78b3-5f91-b96b-4949127ff0a4,Active,30062020 voorraad is op
703c26b8-a11c-516b-b93b-0a194aa0978c,Active,21-04-21 EH: OPS informed us that the website is currently under construction and thus posting jobs is not possible
bfd54d43-7059-5fef-bfd6-d866e7368a35,Active,RVR 22-06-2021: Blacklisted because Adicio doesnt offer this job board anymore.
7865dc00-9eb5-5a23-a2bd-a8724291ce50,Active,"23032020 LT: RC $200,-; Purchase Price $170,-"
14ca95ec-06b0-5653-89f1-905fe2b73387,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
1dce0d01-d427-5d69-8e74-8b82565293fd,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
04b00de9-2ecf-5c14-8492-b8c0d65439de,Active,Using My Channel contract as of Feb 4.
15e2e5de-240d-5241-8bd2-075e5cd92936,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
16489dcf-552d-553a-bf77-5e33a174e82d,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
89f26ac2-7c1b-5e4d-88a9-a4d41a33d72d,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
f25a9bb1-61f8-5261-bfa6-b2ecc53d6409,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
6433dff4-1081-57fe-94d9-e58e090b4ca5,Active,"20032020 LT: RC $299,-; Purchase Price: $254,15"
9ec6f9d6-58d2-56bc-b8df-cfdc7c5f76af,Active,"20032020 LT: RC: $299,- Purchase Price: $254,15"
3c5677c5-b194-5694-9c91-788fc1c638b8,Active,"20032020 LT: RC $429,- Purchase Price $364,65"
